"","Camera","Species","full_species","Common name","Origin","Date","Time","Hour"
"1","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/11/21",20:42:18,20
"2","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/11/21",20:57:35,20
"3","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/11/21",21:26:19,21
"4","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/12/21",00:15:29,0
"5","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/12/21",02:20:36,2
"6","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/12/21",02:55:32,2
"7","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/12/21",03:14:03,3
"8","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/12/21",05:01:29,5
"9","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/12/21",05:13:31,5
"10","BK1","CANLAT","Canis latrans","Coyote","Native","2/12/21",05:16:25,5
"11","BK1","CANLAT","Canis latrans","Coyote","Native","2/12/21",05:16:47,5
"12","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/12/21",05:58:50,5
"13","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/12/21",05:59:00,5
"14","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/12/21",06:01:14,6
"15","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/12/21",20:53:12,20
"16","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/12/21",21:26:30,21
"17","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/13/21",18:26:31,18
"18","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/13/21",18:26:48,18
"19","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/13/21",18:27:56,18
"20","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/13/21",18:53:24,18
"21","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/13/21",19:16:57,19
"22","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/13/21",22:26:45,22
"23","BK1","CANLAT","Canis latrans","Coyote","Native","2/13/21",23:22:13,23
"24","BK1","CANLAT","Canis latrans","Coyote","Native","2/13/21",23:22:24,23
"25","BK1","CANLAT","Canis latrans","Coyote","Native","2/13/21",23:24:33,23
"26","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",00:50:49,0
"27","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",02:30:05,2
"28","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",02:57:14,2
"29","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",02:58:21,2
"30","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",02:58:31,2
"31","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",02:58:41,2
"32","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",04:18:55,4
"33","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",04:19:21,4
"34","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",04:20:15,4
"35","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",04:20:42,4
"36","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",05:13:03,5
"37","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",05:39:18,5
"38","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",06:15:24,6
"39","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",18:51:22,18
"40","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",18:51:32,18
"41","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",18:51:42,18
"42","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",18:55:41,18
"43","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",19:15:53,19
"44","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",19:33:14,19
"45","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",19:33:34,19
"46","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",19:36:33,19
"47","BK1","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","2/14/21",19:36:45,19
