"","source","mass_g"
"1","Bone",3.199
"2","Fur",2.962
"3","Insect",0.018
"4","Snail",0
"5","Seeds",0.011
"6","Trash",0
"7","Feathers",0
"8","Scales",0
"9","Bone",2.568
"10","Fur",0.948
"11","Insect",0.022
"12","Snail",0
"13","Seeds",0
"14","Trash",0.508
"15","Feathers",0
"16","Scales",0
"17","Bone",3.027
"18","Fur",1.904
"19","Insect",0
"20","Snail",0
"21","Seeds",0.291
"22","Trash",0
"23","Feathers",0
"24","Scales",0
"25","Bone",3.521
"26","Fur",2.894
"27","Insect",0.108
"28","Snail",0
"29","Seeds",0
"30","Trash",0
"31","Feathers",0
"32","Scales",0
"33","Bone",4.012
"34","Fur",2.024
"35","Insect",0.024
"36","Snail",0
"37","Seeds",0
"38","Trash",0
"39","Feathers",0
"40","Scales",0
"41","Bone",3.015
"42","Fur",1.217
"43","Insect",0
"44","Snail",0
"45","Seeds",0
"46","Trash",0
"47","Feathers",0
"48","Scales",0
"49","Bone",1.982
"50","Fur",3.266
"51","Insect",0.013
"52","Snail",0
"53","Seeds",0
"54","Trash",0
"55","Feathers",0
"56","Scales",0
"57","Bone",3.067
"58","Fur",3.204
"59","Insect",0
"60","Snail",0
"61","Seeds",0
"62","Trash",0
"63","Feathers",0
"64","Scales",0
"65","Bone",0
"66","Fur",0
"67","Insect",0.128
"68","Snail",0
"69","Seeds",0.862
"70","Trash",0
"71","Feathers",0
"72","Scales",0
"73","Bone",2.068
"74","Fur",3.002
"75","Insect",0
"76","Snail",0
"77","Seeds",0
"78","Trash",0
"79","Feathers",0.358
"80","Scales",0
"81","Bone",1.003
"82","Fur",0.928
"83","Insect",0.165
"84","Snail",0.637
"85","Seeds",0.089
"86","Trash",0
"87","Feathers",0
"88","Scales",0
"89","Bone",3.067
"90","Fur",1.921
"91","Insect",0.099
"92","Snail",0
"93","Seeds",2.032
"94","Trash",0
"95","Feathers",0
"96","Scales",0
"97","Bone",2.818
"98","Fur",3.971
"99","Insect",0
"100","Snail",0
"101","Seeds",0.067
"102","Trash",0
"103","Feathers",0
"104","Scales",0
"105","Bone",3.065
"106","Fur",1.982
"107","Insect",0
"108","Snail",0
"109","Seeds",0
"110","Trash",0
"111","Feathers",0
"112","Scales",0
"113","Bone",4.923
"114","Fur",1.281
"115","Insect",0.096
"116","Snail",0
"117","Seeds",0
"118","Trash",0
"119","Feathers",0
"120","Scales",0
"121","Bone",0.231
"122","Fur",1.001
"123","Insect",0.282
"124","Snail",0
"125","Seeds",0.079
"126","Trash",0
"127","Feathers",0
"128","Scales",0
"129","Bone",1.729
"130","Fur",2.035
"131","Insect",0.188
"132","Snail",1.02
"133","Seeds",0.025
"134","Trash",0
"135","Feathers",0
"136","Scales",0
"137","Bone",2.873
"138","Fur",1.722
"139","Insect",0.068
"140","Snail",0.333
"141","Seeds",0
"142","Trash",0
"143","Feathers",0
"144","Scales",0
"145","Bone",1.021
"146","Fur",0.674
"147","Insect",0
"148","Snail",0
"149","Seeds",2.124
"150","Trash",0.039
"151","Feathers",0.114
"152","Scales",0
"153","Bone",2.016
"154","Fur",3.007
"155","Insect",0
"156","Snail",0.292
"157","Seeds",0
"158","Trash",0
"159","Feathers",0
"160","Scales",0
"161","Bone",0
"162","Fur",0
"163","Insect",0.458
"164","Snail",0.365
"165","Seeds",1.545
"166","Trash",0
"167","Feathers",0
"168","Scales",0.254
"169","Bone",0
"170","Fur",0.017
"171","Insect",0.193
"172","Snail",0
"173","Seeds",2.004
"174","Trash",0
"175","Feathers",0
"176","Scales",0
"177","Bone",3.457
"178","Fur",2.244
"179","Insect",0
"180","Snail",0
"181","Seeds",0.068
"182","Trash",0
"183","Feathers",0
"184","Scales",0
"185","Bone",1.005
"186","Fur",1.051
"187","Insect",0.025
"188","Snail",0
"189","Seeds",1.004
"190","Trash",0
"191","Feathers",0
"192","Scales",0
"193","Bone",2.694
"194","Fur",0
"195","Insect",0.011
"196","Snail",0
"197","Seeds",0
"198","Trash",0
"199","Feathers",0
"200","Scales",0.157
